election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,NLFVkUN1Ih,Haji Ghulam Ahmed Bilour,Awami National Party,44210.0,0.500537787,1.0,Win
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,YDdR7JJToy,Ayub Shah,Pakistan Peoples Party Parliamentarians,37682.0,0.426628927,2.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,YjcqElajmi,Haji Abdul Jalil Jan,Jamiat Ulema-e Islam (Fazl),4103.0,0.046453439,3.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,yz2MD4YdZ4,Saifullah,Independents,661.0,0.007483725,4.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,ywaect63jO,Abdullah Jan,Independents,313.0,0.003543731,5.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,hBBq75E9aS,Aurangzeb,Independents,261.0,0.002954996,6.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,jjXJcFo3ZH,Jawad Aziz,Awami Himayat Tehreek Pakistan,247.0,0.00279649,7.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,msMHrIvSAj,Kakagi Muhammad Zahoor,Pakistan Peoples Party (Shaheed Bhutto),232.0,0.002626663,8.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,Vp4tib3s1u,Fakhri Alam Khan Paracha,Independents,184.0,0.002083215,9.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,jeqmvt3bAR,Ashoni Kumar,Independents,156.0,0.001766204,10.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,NURPYx51wJ,Muhammad Zunbair Anjum,Muttahida Qaumi Movement,151.0,0.001709595,11.0,Loss
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88325.0,629.0,WhQBW1GxI3,Mian Sultan Mohammad,Independents,71.0,0.000803849,12.0,Loss
